Key,Category,Screen,Type,English,Hebrew,Russian
"calculate_mortgage_citizenship_option_2","calculate","mortgage","dropdown_option","United States","ארצות הברית","США"
"calculate_mortgage_citizenship_option_3","calculate","mortgage","dropdown_option","Russia","רוסיה","Россия"
"calculate_mortgage_citizenship_option_4","calculate","mortgage","dropdown_option","Germany","גרמניה","Германия"
"calculate_mortgage_citizenship_option_5","calculate","mortgage","dropdown_option","France","צרפת","Франция"
"calculate_mortgage_citizenship_option_6","calculate","mortgage","dropdown_option","United Kingdom","בריטניה","Великобритания"
"calculate_mortgage_citizenship_option_7","calculate","mortgage","dropdown_option","Canada","קנדה","Канада"
"calculate_mortgage_citizenship_option_8","calculate","mortgage","dropdown_option","Ukraine","אוקראינה","Украина"
"calculate_mortgage_citizenship_option_9","calculate","mortgage","dropdown_option","Other","אחר","Другое"
"calculate_mortgage_education_option_1","calculate","mortgage","dropdown_option","No high school diploma","ללא תעודת בגרות","Без аттестата о среднем образовании"
"calculate_mortgage_education_option_2","calculate","mortgage","dropdown_option","Partial high school diploma","תעודת בגרות חלקית","Частичный аттестат о среднем образовании"
"calculate_mortgage_education_option_3","calculate","mortgage","dropdown_option","Full high school diploma","תעודת בגרות מלאה","Полный аттестат о среднем образовании"
"calculate_mortgage_education_option_4","calculate","mortgage","dropdown_option","Post-secondary education","השכלה על-תיכונית","Послесреднее образование"
"calculate_mortgage_education_option_5","calculate","mortgage","dropdown_option","Bachelor's degree","תואר ראשון","Высшее образование (бакалавриат)"
"calculate_mortgage_education_option_6","calculate","mortgage","dropdown_option","Master's degree","תואר שני","Высшее образование (магистратура)"
"calculate_mortgage_education_option_7","calculate","mortgage","dropdown_option","Doctoral degree","תואר שלישי","Высшее образование (докторантура)"
"calculate_mortgage_family_status_option_1","calculate","mortgage","dropdown_option","Single","רווק/רווקה","Холост/не замужем"
"calculate_mortgage_family_status_option_2","calculate","mortgage","dropdown_option","Married","נשוי/נשואה","Женат/замужем"
"calculate_mortgage_family_status_option_3","calculate","mortgage","dropdown_option","Divorced","גרוש/גרושה","Разведен/разведена"
"calculate_mortgage_family_status_option_4","calculate","mortgage","dropdown_option","Widowed","אלמן/אלמנה","Вдовец/вдова"
"calculate_mortgage_family_status_option_5","calculate","mortgage","dropdown_option","Common-law partner","ידוע/ידועה בציבור","Гражданский брак"
"calculate_mortgage_family_status_option_6","calculate","mortgage","dropdown_option","Other","אחר","Другое"
"calculate_mortgage_sphere_option_1","calculate","mortgage","dropdown_option","Banking and Finance","בנקאות ושירותים פיננסיים","Банковское дело и финансовые услуги"
"calculate_mortgage_sphere_option_10","calculate","mortgage","dropdown_option","Other","אחר","Другое"
"calculate_mortgage_sphere_option_2","calculate","mortgage","dropdown_option","Technology and Cyber","טכנולוגיה ואבטחת מידע","Технологии и информационная безопасность"
"calculate_mortgage_sphere_option_3","calculate","mortgage","dropdown_option","Medicine and Health","רפואה ושירותי בריאות","Медицина и здравоохранение"
"calculate_mortgage_sphere_option_4","calculate","mortgage","dropdown_option","Education and Teaching","חינוך והוראה","Образование и преподавание"
"calculate_mortgage_sphere_option_5","calculate","mortgage","dropdown_option","Law and Consulting","משפטים ויעוץ עסקי","Юриспруденция и бизнес-консалтинг"
"calculate_mortgage_sphere_option_6","calculate","mortgage","dropdown_option","Engineering and Construction","הנדסה ובנייה","Инженерия и строительство"
"calculate_mortgage_sphere_option_7","calculate","mortgage","dropdown_option","Sales and Marketing","מכירות ושיווק","Продажи и маркетинг"
"calculate_mortgage_sphere_option_8","calculate","mortgage","dropdown_option","Services and Hospitality","שירותים ואירוח","Услуги и гостеприимство"
"calculate_mortgage_sphere_option_9","calculate","mortgage","dropdown_option","Manufacturing and Logistics","ייצור ולוגיסטיקה","Производство и логистика"
"mortgage_refinance_reg_option_1","mortgage","refinance","dropdown_option","Yes, Registered in Land Registry","כן, רשומה בטאבו","Да, зарегистрирована в реестре"
"mortgage_refinance_reg_option_2","mortgage","refinance","dropdown_option","No, Not Registered","לא, לא רשומה","Нет, не зарегистрирована"
"mortgage_refinance_why_option_1","mortgage","refinance","dropdown_option","Lower Interest Rate","הפחתת הריבית","Снижение процентной ставки"
"mortgage_refinance_why_option_2","mortgage","refinance","dropdown_option","Reduce Monthly Payment","הפחתת התשלום החודשי","Снижение ежемесячного платежа"
"mortgage_refinance_why_option_3","mortgage","refinance","dropdown_option","Shorten Mortgage Term","קיצור תקופת המשכנתא","Сокращение срока ипотеки"
"mortgage_refinance_why_option_4","mortgage","refinance","dropdown_option","Cash Out Refinance","משיכת מזומן נוסף","Получение дополнительных наличных"
"mortgage_refinance_why_option_5","mortgage","refinance","dropdown_option","Consolidate Debts","איחוד חובות","Консолидация долгов"
"program_refinance_mortgage_option_1","program","refinance","dropdown_option","Fixed interest","ריבית קבועה","Фиксированная ставка"
"program_refinance_mortgage_option_2","program","refinance","dropdown_option","Variable interest","ריבית משתנה","Переменная ставка"
"program_refinance_mortgage_option_3","program","refinance","dropdown_option","Prime interest","ריבית פריים","Ставка прайм"
"program_refinance_mortgage_option_4","program","refinance","dropdown_option","Mixed interest","ריבית מעורבת","Смешанная ставка"
"program_refinance_mortgage_option_5","program","refinance","dropdown_option","Other","אחר","Другое"
"refinance_credit_why_option_1","refinance","refinance","dropdown_option","Improve interest rate","שיפור הריבית","Улучшить процентную ставку"
"refinance_credit_why_option_2","refinance","refinance","dropdown_option","Reduce credit amount","הפחתת סכום האשראי","Уменьшить сумму кредита"
"refinance_credit_why_option_3","refinance","refinance","dropdown_option","Increase term to reduce payment","הגדלת התקופה כדי להפחית את התשלום","Увеличить срок для уменьшения платежа"
"refinance_credit_why_option_4","refinance","refinance","dropdown_option","Increase payment to reduce term","הגדלת התשלום כדי לקצר את התקופה","Увеличить платеж для сокращения срока"
"refinance_step2_family_status_option_1","refinance","refinance","dropdown_option","Single","",""
"refinance_step2_family_status_option_2","refinance","refinance","dropdown_option","Married","",""
"refinance_step2_family_status_option_3","refinance","refinance","dropdown_option","Divorced","",""
"refinance_step2_family_status_option_4","refinance","refinance","dropdown_option","Widowed","",""
"refinance_step2_family_status_option_5","refinance","refinance","dropdown_option","Common-law marriage","",""
"refinance_step2_family_status_option_6","refinance","refinance","dropdown_option","Other","",""
"refinance_step2_education_option_1","refinance","refinance","dropdown_option","No high school certificate","ללא תעודת בגרות",""
"refinance_step2_education_option_2","refinance","refinance","dropdown_option","Partial high school certificate","תעודת בגרות חלקית",""
"refinance_step2_education_option_3","refinance","refinance","dropdown_option","Full high school certificate","תעודת בגרות מלאה",""
"refinance_step2_education_option_4","refinance","refinance","dropdown_option","Post-secondary education","השכלה על-תיכונית",""
"refinance_step2_education_option_5","refinance","refinance","dropdown_option","Bachelor's degree","תואר ראשון",""
"refinance_step2_education_option_6","refinance","refinance","dropdown_option","Master's degree","תואר שני",""
"refinance_step2_education_option_7","refinance","refinance","dropdown_option","Doctoral degree","תואר שלישי",""
"refinance_step3_main_source_income_option_1","refinance","refinance","dropdown_option","Employee","",""
"refinance_step3_main_source_income_option_2","refinance","refinance","dropdown_option","Self-employed","",""
"refinance_step3_main_source_income_option_3","refinance","refinance","dropdown_option","Pensioner","",""
"refinance_step3_main_source_income_option_4","refinance","refinance","dropdown_option","Student","",""
"refinance_step3_main_source_income_option_5","refinance","refinance","dropdown_option","Unpaid leave","",""
"refinance_step3_main_source_income_option_6","refinance","refinance","dropdown_option","Unemployed","",""
"refinance_step3_main_source_income_option_7","refinance","refinance","dropdown_option","Other","",""
"refinance_step3_additional_income_option_1","refinance","refinance","dropdown_option","No additional income","",""
"refinance_step3_additional_income_option_2","refinance","refinance","dropdown_option","Additional salary","",""
"refinance_step3_additional_income_option_3","refinance","refinance","dropdown_option","Additional work","",""
"refinance_step3_additional_income_option_4","refinance","refinance","dropdown_option","Property rental income","",""
"refinance_step3_additional_income_option_5","refinance","refinance","dropdown_option","Investment income","",""
"refinance_step3_additional_income_option_6","refinance","refinance","dropdown_option","Pension income","",""
"refinance_step3_additional_income_option_7","refinance","refinance","dropdown_option","Other","",""
"refinance_step3_obligations_option_1","refinance","refinance","dropdown_option","No obligations","",""
"refinance_step3_obligations_option_2","refinance","refinance","dropdown_option","Bank loan","",""
"refinance_step3_obligations_option_3","refinance","refinance","dropdown_option","Consumer credit","",""
"refinance_step3_obligations_option_4","refinance","refinance","dropdown_option","Credit card debt","",""
"refinance_step3_obligations_option_5","refinance","refinance","dropdown_option","Other","",""
"refinance_step4_filter_option_1","refinance","refinance","dropdown_option","All refinancing programs","",""
"refinance_step4_filter_option_2","refinance","refinance","dropdown_option","Prime rate refinancing","",""
"refinance_step4_filter_option_3","refinance","refinance","dropdown_option","Fixed rate refinancing","",""
"refinance_step4_filter_option_4","refinance","refinance","dropdown_option","Variable rate refinancing","",""
"credit_step2_family_status_option_1","credit","general","dropdown_option","Single","",""
"credit_step2_family_status_option_2","credit","general","dropdown_option","Married","",""
"credit_step2_family_status_option_3","credit","general","dropdown_option","Divorced","",""
"credit_step2_family_status_option_4","credit","general","dropdown_option","Widowed","",""
"credit_step2_family_status_option_5","credit","general","dropdown_option","Common-law marriage","",""
"credit_step2_family_status_option_6","credit","general","dropdown_option","Other","",""
"credit_step3_main_source_income_option_1","credit","general","dropdown_option","Employee","",""
"credit_step3_main_source_income_option_2","credit","general","dropdown_option","Self-employed","",""
"credit_step3_main_source_income_option_3","credit","general","dropdown_option","Pensioner","",""
"credit_step3_main_source_income_option_4","credit","general","dropdown_option","Student","",""
"credit_step3_main_source_income_option_5","credit","general","dropdown_option","Unemployed","",""
"credit_step3_main_source_income_option_6","credit","general","dropdown_option","Other","",""
"credit_step4_filter_option_1","credit","general","dropdown_option","All credit options","",""
"credit_step4_filter_option_2","credit","general","dropdown_option","Bank loans","",""
"credit_step4_filter_option_3","credit","general","dropdown_option","Credit companies","",""
"credit_step4_filter_option_4","credit","general","dropdown_option","P2P lending","",""
"__MIGRATED_calculate_credit_why_option_1","__MIGRATED_calculate_credit_why_option_1","credit","dropdown_option","MIGRATED to database - screen_location: refinance_credit_1, content_key: calculate_credit_why_option_1","MIGRATED to database - screen_location: refinance_credit_1, content_key: calculate_credit_why_option_1","MIGRATED to database - screen_location: refinance_credit_1, content_key: calculate_credit_why_option_1"
"__MIGRATED_calculate_credit_why_option_2","__MIGRATED_calculate_credit_why_option_2","credit","dropdown_option","MIGRATED to database - screen_location: refinance_credit_1, content_key: calculate_credit_why_option_2","MIGRATED to database - screen_location: refinance_credit_1, content_key: calculate_credit_why_option_2","MIGRATED to database - screen_location: refinance_credit_1, content_key: calculate_credit_why_option_2"
"__MIGRATED_calculate_credit_why_option_3","__MIGRATED_calculate_credit_why_option_3","credit","dropdown_option","MIGRATED to database - screen_location: refinance_credit_1, content_key: calculate_credit_why_option_3","MIGRATED to database - screen_location: refinance_credit_1, content_key: calculate_credit_why_option_3","MIGRATED to database - screen_location: refinance_credit_1, content_key: calculate_credit_why_option_3"
"__MIGRATED_calculate_credit_why_option_4","__MIGRATED_calculate_credit_why_option_4","credit","dropdown_option","MIGRATED to database - screen_location: refinance_credit_1, content_key: calculate_credit_why_option_4","MIGRATED to database - screen_location: refinance_credit_1, content_key: calculate_credit_why_option_4","MIGRATED to database - screen_location: refinance_credit_1, content_key: calculate_credit_why_option_4"
"accept_phone","accept","general","placeholder","Verify phone","אמת טלפון","Подтвердить телефон"
"calculate_credit_amount_ph","calculate","credit","placeholder","Enter credit amount","הזן סכום אשראי","Введите сумму кредита"
"calculate_credit_prolong_ph","calculate","credit","placeholder","Select repayment period","בחר תקופת החזר","Выберите период погашения"
"calculate_credit_target_ph","calculate","credit","placeholder","Select credit purpose","בחר מטרת האשראי","Выберите цель кредита"
"calculate_mortgage_citizenship_ph","calculate","mortgage","placeholder","Select citizenship","בחר אזרחות","Выберите гражданство"
"calculate_mortgage_monthly_income_ph","calculate","mortgage","placeholder","Enter monthly net income","הזן הכנסה חודשית נטו","Введите чистый ежемесячный доход"
"calculate_mortgage_name_surname_ph","calculate","mortgage","placeholder","Enter first name and last name","הזן שם פרטי ושם משפחה","Введите имя и фамилию"
"calculate_mortgage_profession_ph","calculate","mortgage","placeholder","Your current position at workplace","תפקידכם הנוכחי במקום העבודה","Ваша текущая должность на рабочем месте"
"confirm_phone_number_login","confirm","general","placeholder","Confirm your phone number so we can send you an SMS with the banks' decision. We guarantee the security and safety of your data","אמת את מספר הטלפון שלך כדי שנוכל לשלוח לך SMS עם החלטת הבנקים. אנו מבטיחים בטיחות ושמירה על הנתונים שלך","Подтвердите номер телефона, чтобы мы могли отправить вам SMS с решением банков. Мы гарантируем безопасность и сохранность ваших данных"
"contact_form_phone","contact","general","placeholder","Phone","טלפון","Телефон"
"contact_form_phone_placeholder","contact","general","placeholder","Enter phone number","הזן מספר טלפון","Введите номер телефона"
"contact_form_phone_required","contact","general","placeholder","Phone is required","טלפון הוא חובה","Телефон обязателен"
"contacts_footer_phone","contacts","general","placeholder","03-1234567","03-1234567","03-1234567"
"contacts_phone_title","contacts","general","placeholder","Phone","טלפון","Телефон"
"enter_phone_number","enter","general","placeholder","Enter phone number","הזן מספר טלפון","Введите номер телефона"
"enter_phone_number_login","enter","general","placeholder","Enter your mobile phone number to get offers from banks","הזן את מספר הטלפון הנייד שלך כדי לקבל הצעות מבנקים","Введите номер мобильного телефона для получения предложений от банков"
"invalid_phone","invalid","general","placeholder","Invalid phone number","מספר טלפון לא תקין","Неверный номер телефона"
"privacy_policy_section_17_phone","privacy","general","placeholder","**Phone:** 03-5371622","**טלפון:** 03-5371622","**Телефон:** 03-5371622"
"sms_phone","sms","general","placeholder","SMS verification","אימות בהודעת SMS","Подтверждение по SMS"
"refinance_step2_name_surname_ph","refinance","refinance","placeholder","Enter first name and last name","",""
"refinance_step2_family_status_ph","refinance","refinance","placeholder","Select marital status","",""
"refinance_step2_citizenship_ph","refinance","refinance","placeholder","Select citizenship","",""
"refinance_step3_main_source_income_ph","refinance","refinance","placeholder","Select main source of income","",""
"refinance_step3_monthly_income_ph","refinance","refinance","placeholder","Enter net monthly income","",""
"refinance_step3_profession_ph","refinance","refinance","placeholder","Your current position at workplace","",""
"refinance_step3_additional_income_ph","refinance","refinance","placeholder","Select additional income type","",""
"refinance_step3_obligations_ph","refinance","refinance","placeholder","Select obligation type","",""
"credit_step1_credit_amount_ph","credit","general","placeholder","Enter desired credit amount","",""
"credit_step1_credit_period_ph","credit","general","placeholder","Select credit period","",""
"credit_step1_credit_purpose_ph","credit","general","placeholder","Select credit purpose","",""
"credit_step1_monthly_payment_ph","credit","general","placeholder","Enter desired monthly payment","",""
"credit_step2_name_surname_ph","credit","general","placeholder","Enter first name and last name","",""
"credit_step2_family_status_ph","credit","general","placeholder","Select marital status","",""
"credit_step2_id_number_ph","credit","general","placeholder","Enter ID number","",""
"credit_step2_phone_number","credit","general","placeholder","Phone Number","",""
"credit_step2_phone_number_ph","credit","general","placeholder","Enter phone number","",""
"credit_step2_email_ph","credit","general","placeholder","Enter email address","",""
"credit_step2_address_ph","credit","general","placeholder","Enter current address","",""
"credit_step3_main_source_income_ph","credit","general","placeholder","Select main source of income","",""
"credit_step3_monthly_income_ph","credit","general","placeholder","Enter net monthly income","",""
"credit_step3_company_name_ph","credit","general","placeholder","Enter workplace name","",""
"credit_step3_years_at_workplace_ph","credit","general","placeholder","Enter number of years","",""
"credit_step3_bank_account_ph","credit","general","placeholder","Select your bank","",""
"credit_step3_existing_loans_amount_ph","credit","general","placeholder","Enter total monthly payments","",""
"__MIGRATED_credit_refinance_why_ph","__MIGRATED_credit_refinance_why_ph","refinance","placeholder","MIGRATED to database - screen_location: refinance_credit_1, content_key: credit_refinance_why_ph","MIGRATED to database - screen_location: refinance_credit_1, content_key: credit_refinance_why_ph","MIGRATED to database - screen_location: refinance_credit_1, content_key: credit_refinance_why_ph"
"__MIGRATED_date_ph","__MIGRATED_date_ph","general","placeholder","MIGRATED to database - screen_location: refinance_credit_1, content_key: date_ph","MIGRATED to database - screen_location: refinance_credit_1, content_key: date_ph","MIGRATED to database - screen_location: refinance_credit_1, content_key: date_ph"
"__MIGRATED_calculate_mortgage_first_ph","__MIGRATED_calculate_mortgage_first_ph","mortgage","placeholder","MIGRATED to database - screen_location: refinance_credit_1, content_key: calculate_mortgage_first_ph","MIGRATED to database - screen_location: refinance_credit_1, content_key: calculate_mortgage_first_ph","MIGRATED to database - screen_location: refinance_credit_1, content_key: calculate_mortgage_first_ph"
"broker_questionnaire_error_phone_format","broker","general","placeholder","","מספר הטלפון אינו תקף (נדרש פורמט ישראלי תקני)",""
"broker_questionnaire_phone","broker","general","placeholder","","מספר טלפון ליצירת קשר",""
"TITLE_COMPARE","TITLE","general","text","Compare Mortgages","השוואת משכנתה / אשראי","Сравнение ипотек / кредитов"
"accept_conditions_login","accept","general","text","By clicking "Continue" I accept the terms of the ","בלחיצה על "המשך" אני מקבל את תנאי","Нажимая "Продолжить", я принимаю условия"
"accept_cookie","accept","general","text","I Accept","אני מסכים","Я согласен"
"accept_you_profile_for_enter","accept","general","text","Your profile has been successfully accepted in the system","הפרופיל שלך התקבל במערכת בהצלחה","Ваш профиль успешно принят в системе"
"accept_you_profile_for_registration","accept","general","text","What is the password you received?"," מה הסיסמה שקיבלתם? "," Какой пароль вы получили? "
"account","account","general","text","Account login","התחברות לחשבון","Вход в аккаунт"
"account_number","account","general","text","Account Number","מספר חשבון","Номер счета"
"account_owner","account","general","text","Account Owner","בעל החשבון","Владелец счета"
"add_bank_account","add","general","text","Add Bank Account","הוסף חשבון בנק","Добавить банковский счет"
"add_card","add","general","text","Add New Card","הוסף כרטיס חדש","Добавить новую карту"
"add_inc","add","general","text","Add income source","הוסף מקור הכנסה","Добавить источник дохода"
"add_programm","add","general","text","Add Program","הוסף תוכנית","Добавить программу"
"address_placeholder","address","general","text","Enter residential address","הזן כתובת מגורים מלאה","Введите полный адрес проживания"
"address_title","address","general","text","Residential Address","כתובת מגורים","Адрес проживания"
"agreement","agreement","general","text"," and give my consent to the processing of my personal data under the conditions defined by the ","אני מסכים ל ","Я согласен с "
"agreement_text_start","agreement","general","text","By clicking "Continue" I accept the terms of","בלחיצה על "המשך" אני מקבל את תנאי","Нажимая "Продолжить", я принимаю условия"
"already_client","already","general","text","Already our client? ","כבר לקוח רשום?","Уже зарегистрированный клиент?"
"amount","amount","general","text","Amount","סכום","Сумма"
"and","and","general","text","and","ו","и"
"app_name","app","general","text","Bankimonline","בנקימונליין","Банкимонлайн"
"application_submitted_description","application","general","text","Bank responses will be received within 2-3 business days. We will send you notifications via SMS or Email.","תגובות הבנקים לבקשתך יתקבלו תוך 2-3 ימי עסקים. תקבל התראות על התגובה באמצעות SMS או דוא"ל.","Ответы банков на вашу заявку будут получены в течение 2-3 рабочих дней. Вы получите уведомления об ответе через SMS или электронную почту."
"application_submitted_title","application","general","text","Application Accepted for Processing","הבקשה נקלטה במערכת","Заявка принята в системе"
"apply","apply","general","text","Apply","החל","Применить"
"back","back","general","text","Back","חזור","Назад"
"back_to_personal_cabinet","back","personal_cabinet","text","Back to Personal Cabinet","חזור לאזור האישי","Вернуться в личный кабинет"
"back_to_vacancies","back","general","text","Back to Vacancies","חזרה למשרות","Назад к вакансиям"
"balance","balance","general","text","Balance","יתרה","Остаток"
"bank_accounts","bank","general","text","Bank Accounts","חשבונות בנק","Банковские счета"
"bank_discount","bank","general","text","Discount Bank","בנק דיסקונט","Банк Дисконт"
"bank_hapoalim","bank","general","text","Bank Hapoalim","בנק הפועלים","Банк Апоалим"
"bank_israel","bank","general","text","Bank of Israel","בנק ישראל","Банк Израиля"
"bank_leumi","bank","general","text","Bank Leumi","בנק לאומי","Банк Леуми"
"bank_massad","bank","general","text","Massad Bank","בנק מסד","Банк Масад"
"bank_name","bank","general","text","Bank Name","שם הבנק","Название банка"
"bank_offers_credit_amount","bank","general","text","Credit amount","סכום האשראי","Сумма кредита"
"bank_offers_credit_payment","bank","general","text","Monthly payment","תשלום חודשי","Ежемесячный платеж"
"bank_offers_credit_rate","bank","general","text","Interest rate","ריבית","Процентная ставка"
"bank_offers_credit_register","bank","general","text","Credit application registration","רישום בקשת אשראי","Регистрация заявки на кредит"
"bank_offers_credit_total","bank","general","text","Total payment amount","סכום כולל לתשלום","Общая сумма к выплате"
"bank_partner_accept_terms","bank","general","text","I agree to the platform terms","אני מסכים לתנאי הפלטפורמה","Я согласен с условиями платформы"
"bank_partner_already_registered","bank","general","text","Already registered? Sign in","כבר רשום? התחבר","Уже зарегистрированы? Войти"
"bank_partner_complete_registration","bank","general","text","Complete Registration","השלם רישום","Завершить регистрацию"
"bank_partner_confirm_password","bank","general","text","Confirm Password","אישור סיסמה","Подтвердите пароль"
"bank_partner_confirm_password_placeholder","bank","general","text","Confirm your password","אשר את הסיסמה שלך","Подтвердите ваш пароль"
"bank_partner_create_password","bank","general","text","Create your secure password to complete registration","צור סיסמה מאובטחת כדי להשלים את הרישום","Создайте безопасный пароль для завершения регистрации"
"bank_partner_full_name","bank","general","text","Full Name","שם מלא","Полное имя"
"bank_partner_full_name_placeholder","bank","general","text","Enter your full name","הכנס את שמך המלא","Введите ваше полное имя"
"bank_partner_password","bank","general","text","Password","סיסמה","Пароль"
"bank_partner_password_placeholder","bank","general","text","Enter your password","הכנס סיסמה","Введите пароль"
"bank_partner_password_step","bank","general","text","Password Confirmation","אישור סיסמה","Подтверждение пароля"
"bank_partner_position","bank","general","text","Position","תפקיד","Должность"
"bank_partner_position_placeholder","bank","general","text","Enter your position","הכנס את תפקידך","Введите вашу должность"
"bank_partner_registration","bank","general","text","Bank Partner Registration","רישום שותף בנק","Регистрация банковского партнера"
"bank_partner_registration_success","bank","general","text","Registration completed successfully!","הרישום הושלם בהצלחה!","Регистрация успешно завершена!"
"bank_partner_service_selection","bank","general","text","Service Selection","בחירת שירות","Выбор услуги"
"bank_partner_service_selection_placeholder","bank","general","text","Select your service","בחר את השירות שלך","Выберите вашу услугу"
"bank_partner_welcome","bank","general","text","Welcome to our banking platform","ברוכים הבאים לפלטפורמת הבנקאות שלנו","Добро пожаловать на нашу банковскую платформу"
"bank_worker_accept_terms","bank","bank_worker","text","I agree to the platform terms","אני מסכים לתנאי הפלטפורמה","Я согласен с условиями платформы"
"bank_worker_already_account","bank","bank_worker","text","Already have an account? Sign in","כבר יש לכם חשבון? התחברות","Уже есть аккаунт? Войти"
"bank_worker_bank","bank","bank_worker","text","Bank","בנק","Банк"
"bank_worker_bank_branch","bank","bank_worker","text","Bank Branch","סניף בנק","Филиал банка"
"bank_worker_bank_email","bank","bank_worker","text","Bank Email","דואר אלקטרוני בנקאי","Банковский email"
"bank_worker_bank_email_placeholder","bank","bank_worker","text","Enter your bank email","הזינו את הדואר הבנקאי שלכם","Введите ваш банковский email"
"bank_worker_bank_number","bank","bank_worker","text","Bank Number","מספר בנק","Номер банка"
"bank_worker_bank_number_placeholder","bank","bank_worker","text","Enter bank number","הזינו מספר בנק","Укажите номер банка"
"bank_worker_basic_info","bank","bank_worker","text","Basic Information","מידע בסיסי","Основная информация"
"bank_worker_city","bank","bank_worker","text","City","עיר","Город"
"bank_worker_continue","bank","bank_worker","text","Continue","המשך","Продолжить"
"bank_worker_demo_description","bank","bank_worker","text","This is a demonstration. Registration data is saved locally for testing purposes.","זוהי הדגמה. נתוני הרשמה נשמרים מקומית למטרות בדיקה.","Это демонстрация. Данные регистрации сохраняются локально для тестирования."
"bank_worker_demo_notice","bank","bank_worker","text","Demo Mode","מצב הדגמה","Демо режим"
"bank_worker_enter_password","bank","bank_worker","text","Enter Password","הזינו סיסמה","Введите пароль"
"bank_worker_full_name","bank","bank_worker","text","Full Name","שם מלא","Полное имя"
"bank_worker_full_name_placeholder","bank","bank_worker","text","Enter your full name","הכנס שם מלא","Введите полное имя"
"bank_worker_loading_banks","bank","bank_worker","text","Loading banks...","טוען בנקים...","Загрузка банков..."
"bank_worker_loading_branches","bank","bank_worker","text","Loading branches...","טוען סניפים...","Загрузка филиалов..."
"bank_worker_login_link","bank","bank_worker","text","Already have an account? Sign in","כבר יש לכם חשבון? התחברות","Уже есть аккаунт? Войти"
"bank_worker_no_branches","bank","bank_worker","text","No branches available","אין סניפים זמינים","Филиалы недоступны"
"bank_worker_password_placeholder","bank","bank_worker","text","Password","סיסמה","Пароль"
"bank_worker_position","bank","bank_worker","text","Position","תפקיד","Должность"
"bank_worker_position_placeholder","bank","bank_worker","text","Enter your position","הכנס תפקיד","Введите должность"
"bank_worker_register_button","bank","bank_worker","text","Register","הרשמה","Зарегистрироваться"
"bank_worker_register_subtitle","bank","bank_worker","text","Register and get clients","הירשמו וקבלו לקוחות","Зарегистрируйтесь и получайте клиентов"
"bank_worker_registration","bank","bank_worker","text","Registration","רישום","Регистрация"
"bank_worker_registration_success","bank","bank_worker","text","Registration completed successfully! Redirecting to status page...","ההרשמה הושלמה בהצלחה! מעבר לעמוד הסטטוס...","Регистрация успешно завершена! Перенаправление на страницу статуса..."
"bank_worker_repeat_password","bank","bank_worker","text","Repeat Password","חזרו על הסיסמה","Повторите пароль"
"bank_worker_search_banks","bank","bank_worker","text","Search banks...","חיפוש בנקים...","Поиск банков..."
"bank_worker_search_branches","bank","bank_worker","text","Search branches...","חיפוש סניפים...","Поиск филиалов..."
"bank_worker_search_cities","bank","bank_worker","text","Search cities...","חיפוש ערים...","Поиск городов..."
"bank_worker_select_bank","bank","bank_worker","text","Select Bank","בחירת בנק","Выберите банк"
"bank_worker_select_bank_first","bank","bank_worker","text","Select a bank first","בחרו בנק תחילה","Сначала выберите банк"
"bank_worker_select_branch","bank","bank_worker","text","Select Branch","בחירת סניף","Выберите филиал"
